storeProvince,storeCity,storeArea,storeAreaCn,storeName,storeAddress,storeBrandManage,storeBusinessHours,storeContactName,storeContactPhone,storeIPaddress,storeId,location,storeNo,storePhone,storePrecision,storePublish,storeState,storeTimestamp,storeZip,useCard,hasBreakfast,storeAddtime
内蒙古自治区,包头市,华北区,,包头东河吾悦广场,包头市东河区青山路南新城吾悦广场（&nbsp;&nbsp;青山路与外环路交叉口东南）1037/1038商铺,,10:00-21:00,,,101.80.69.240,6052,"40.5989871,110.010738",29619,15326905717,,1,1,1662379861,,1,0,2022/9/5 20:11
内蒙古自治区,包头市,华北区,,包头苏宁,包头市昆都仑区钢铁大街27号苏宁广场五楼502汉堡王,,10:00-21:00,,,116.231.53.212,607,"40.65695,109.84284",23039,0472-5143432,,1,1,1502699675,,1,0,2017/8/14 16:34
内蒙古自治区,包头市,华北区,,包头昆区吾悦广场,内蒙古包头市昆区吾悦广场1051汉堡王餐厅,,10:00-22:00,,,101.80.65.15,5902,"40.6181681,109.8232404",28682,0472-5100006,,1,1,1651129766,,1,0,2022/4/28 15:09
内蒙古自治区,鄂尔多斯市,华北区,,康巴什泰华大厦,鄂尔多斯市康巴什区滨河街道文化西路南9号BOXPARK商业街D区28号,,9:00-23:00,,,114.92.160.61,6303,"39.5984,109.785972",33049,18047752636,,1,1,1749546643,,1,0,2025/6/10 17:10
辽宁省,沈阳市,东北区,,沈阳桃仙机场,辽宁省沈阳市桃仙机场T3航站楼进站口,,6:00-22:00,,,101.85.196.9,233,"41.6373999,123.495",19648,024-31929709                  ,,1,1,1463890494,,1,0,2016/5/22 12:14
辽宁省,沈阳市,东北区,,沈阳绿城青悦汇,沈阳市浑南区全运路95号绿城青悦汇购物中心1A-02号商铺,,10:00-20:30,,,101.80.69.240,6053,"41.6790709,123.4732739",29237,024-23915532,,1,1,1662380024,,1,0,2022/9/5 20:13
辽宁省,沈阳市,东北区,,沈阳中街益田餐厅,辽宁省沈阳市沈河区中街路268号新一城购物中心负一层B1-A37号,,10:00-21:30,,,116.233.51.78,5898,"41.8018736,123.4641663",27953,024-31976557,,1,1,1630554835,,1,0,2021/9/2 11:53
辽宁省,沈阳市,东北区,,沈阳豫珑城餐厅,沈阳市沈河区北中街路116号豫珑城商场一楼W119 ,,10:00-21:00,,,101.85.196.9,300,"41.8032505,123.458212",21804,024-31219066     ,,1,1,1463898424,,1,0,2016/5/22 14:27
辽宁省,沈阳市,东北区,,沈阳兴隆奥莱,沈阳市浑南新区营盘北街5号B座四层B4-18号,,10:00-22:00,,,116.231.55.83,599,"41.7419148,123.4562373",23149,024-31263970,,1,1,1481596932,,1,0,2016/12/13 10:42
辽宁省,沈阳市,东北区,,沈阳新隆街,沈阳市浑南新区新隆街1-26号明天广场101,,10:00-19:00,,,101.85.196.9,248,"41.7233798,123.455526",20971,024-31263726              ,,1,1,1463891824,,1,1,2016/5/22 12:37
